I0,I1,I2
-3823,-2908,6731
-2285,-3638,5923
-635,-4149,4784
3007,-4578,1571
3927,-4331,404
4743,-3795,-948
4813,-2512,-2301
4186,-404,-3782
2846,3452,-6298
1212,4145,-5357
-3889,4603,-714
-3638,4756,-1118
-4764,4323,441
-5333,3378,1955
-4867,1650,3217
-4075,-2602,6677
-2689,-3828,6517
-759,-4430,5189
3485,-4694,1209
3848,-4657,809
4912,-4162,-750
5036,-2879,-2157
4277,-594,-3683
3168,3555,-6723
1575,4054,-5629
-1439,4611,-3172
-3522,4681,-1159
-4459,4186,273
-5148,3502,1646
-4851,1802,3049
-3922,-1373,5295
-2541,-3667,6208
-783,-4182,4965
3568,-4488,920
3745,-4364,619
4669,-3844,-825
4842,-2565,-2277
4050,-416,-3634
2883,3250,-6133
1295,3902,-5197
-3262,4240,-978
-3551,4384,-833
-4537,4026,511
-5011,3188,1823
-4455,1212,3243
-3634,-3815,7449
-1938,-3782,5720
-321,-4323,4644
2974,-4566,1592
4100,-4335,235
4929,-3704,-1225
4904,-2322,-2582
4133,-235,-3898
2734,3493,-6227
1167,4005,-5172
-3914,4475,-561
-3658,4772,-1114
-4760,4158,602
-5251,3312,1939
-4698,1456,3242
-3869,-3815,7684
-2326,-3910,6236
-462,-4512,4974
2994,-4863,1869
4067,-4648,581
5007,-4034,-973
5152,-2792,-2360
4298,-523,-3775
3093,3564,-6657
1497,4030,-5527
-1711,4537,-2826
-3646,4714,-1068
-4521,4269,252
-5127,3448,1679
-4780,1687,3093
-3918,-2557,6475
-2347,-3861,6208
-515,-4438,4953
2982,-4743,1761
3993,-4628,635
4917,-4009,-908
5077,-2796,-2281
4236,-544,-3692
3196,3469,-6665
1588,4009,-5597
-1443,4496,-3053
-3551,4710,-1159
-4541,4331,210
-5251,3522,1729
-4888,1707,3181
-3931,-2355,6286
-2392,-3807,6199
-697,-4389,5086
3324,-4813,1489
3960,-4521,561
4842,-4017,-825
5119,-2858,-2261
4401,-754,-3647
3196,3708,-6904
1732,3869,-5601
-849,4483,-3634
-3576,4611,-1035
-4426,4100,326
-4970,3262,1708
-4578,1468,3110
-3811,-3130,6941
-2248,-3885,6133
-523,-4302,4825
2932,-4591,1659
3997,-4516,519
4859,-3968,-891
4892,-2673,-2219
4112,-523,-3589
3007,3514,-6521
1489,3823,-5312
-2404,4306,-1902
-3625,4384,-759
-4512,3894,618
-4945,3048,1897
-4549,1229,3320
-3493,-4001,7494
-2037,-3823,5860
-358,-4413,4771
3036,-4879,1843
4042,-4525,483
4739,-3815,-924
4719,-2532,-2187
4075,-515,-3560
2941,3378,-6319
1142,3972,-5114
-3852,4257,-405
-3543,4108,-565
-4607,3848,759
-4875,2772,2103
-4327,878,3449
-3382,-3716,7098
-2095,-3964,6059
-284,-4537,4821
3089,-4772,1683
3972,-4467,495
4871,-3914,-957
4834,-2483,-2351
4092,-325,-3767
2908,3353,-6261
1212,4059,-5271
-3840,4463,-623
-3745,4677,-932
-4698,4092,606
-5222,3213,2009
-4690,1295,3395
-3753,-3906,7659
-2178,-3778,5956
-573,-4285,4858
3060,-4554,1494
3815,-4257,442
4702,-3745,-957
4834,-2553,-2281
4079,-334,-3745
2759,3378,-6137
1150,3997,-5147
-3766,4417,-651
-3555,4632,-1077
-4776,4038,738
-5139,3114,2025
-4516,1282,3234
-3687,-3848,7535
-2025,-3650,5675
-536,-4211,4747
2994,-4521,1527
3906,-4162,256
4719,-3687,-1032
4739,-2211,-2528
3922,-82,-3840
2545,3489,-6034
767,4083,-4850
-3477,4537,-1060
-3869,4690,-821
-4834,4145,689
-5172,3106,2066
-4545,1192,3353
-3786,-3910,7696
-2252,-3790,6042
-536,-4471,5007
2916,-4698,1782
4021,-4323,302
4925,-3852,-1073
4966,-2417,-2549
4203,-251,-3952
2850,3493,-6343
1204,4265,-5469
-3836,4673,-837
-3675,4917,-1242
-4657,4347,310
-5247,3543,1704
-4871,1777,3094
-3988,-1695,5683
-2578,-3782,6360
-635,-4389,5024
3283,-4677,1394
3968,-4554,586
4892,-3968,-924
4962,-2660,-2302
4211,-408,-3803
2998,3403,-6401
1472,4054,-5526
-1942,4570,-2628
-3584,4727,-1143
-4405,4343,62
-5160,3650,1510
-4888,1831,3057
-3972,-1204,5176
-2586,-3687,6273
-688,-4265,4953
3588,-4698,1110
3964,-4413,449
4958,-3939,-1019
5069,-2714,-2355
4364,-585,-3779
3114,3370,-6484
1588,3939,-5527
-874,4541,-3667
-3526,4628,-1102
-4409,4203,206
-5090,3502,1588
-4838,1860,2978
-3997,-1299,5296
-2512,-3762,6274
-610,-4372,4982
3011,-4739,1728
4153,-4681,528
5069,-4129,-940
5201,-2821,-2380
4463,-705,-3758
3283,3675,-6958
1839,4059,-5898
-8,4636,-4628
-3419,4706,-1287
-4285,4257,28
-5020,3650,1370
-4809,1926,2883
-3881,-1357,5238
-2442,-3592,6034
-569,-4269,4838
3366,-4669,1303
3906,-4516,610
4797,-3968,-829
4867,-2673,-2194
4207,-631,-3576
3135,3609,-6744
1542,3852,-5394
-1200,4380,-3180
-3469,4368,-899
-4360,4026,334
-4842,3118,1724
-4323,1340,2983
-3559,-3918,7477
-2029,-3836,5865
-325,-4290,4615
3048,-4636,1588
3997,-4430,433
4904,-3869,-1035
4917,-2495,-2422
4100,-288,-3812
2970,3333,-6303
1332,4021,-5353
-3283,4467,-1184
-3634,4644,-1010
-4620,4145,475
-5263,3275,1988
-4838,1373,3465
-3931,-3877,7808
-2380,-3922,6302
-688,-4611,5299
3506,-4978,1472
3943,-4780,837
4912,-4240,-672
5214,-3093,-2121
4323,-862,-3461
3349,3749,-7098
1654,3877,-5531
-1237,4417,-3180
-3572,4409,-837
-4455,4017,438
-5086,3291,1795
-4644,1546,3098
-3811,-3163,6974
-2334,-3716,6050
-573,-4273,4846
3139,-4607,1468
3877,-4397,520
4752,-3935,-817
4875,-2693,-2182
4141,-569,-3572
2928,3427,-6355
1303,3865,-5168
-3654,4364,-710
-3580,4562,-982
-4669,4059,610
-5082,3172,1910
-4537,1249,3288
-3811,-3902,7713
-2244,-3766,6010
-449,-4397,4846
2904,-4731,1827
3960,-4463,503
4863,-3935,-928
4921,-2619,-2302
4232,-482,-3750
2866,3382,-6248
1249,4059,-5308
-3885,4566,-681
-3716,4805,-1089
-4739,4327,412
-5317,3370,1947
-4912,1575,3337
-4079,-2957,7036
-2631,-3799,6430
-750,-4339,5089
3386,-4648,1262
3766,-4516,750
4776,-4013,-763
4855,-2796,-2059
4116,-594,-3522
3044,3399,-6443
1423,3964,-5387
-3308,4405,-1097
-3580,4665,-1085
-4607,4224,383
-5172,3320,1852
-4752,1518,3234
-3865,-3122,6987
-2458,-3712,6170
-676,-4285,4961
3415,-4607,1192
3741,-4413,672
4776,-3914,-862
5020,-2619,-2401
4281,-495,-3786
2970,3316,-6286
1365,4096,-5461
-3300,4578,-1278
-3617,4809,-1192
-4710,4166,544
-5271,3440,1831
-4970,1654,3316
-4026,-2202,6228
-2660,-3716,6376
-825,-4228,5053
3630,-4591,961
3869,-4533,664
4846,-3997,-849
4962,-2780,-2182
4153,-627,-3526
2982,3539,-6521
1513,3988,-5501
-2887,4500,-1613
-3592,4665,-1073
-4574,4211,363
-5106,3353,1753
-4780,1744,3036
-3848,-2483,6331
-2347,-3613,5960
-598,-4199,4797
3192,-4541,1349
3823,-4269,446
4620,-3745,-875
4512,-2289,-2223
3984,-313,-3671
2767,3349,-6116
