I0,I1,I2,I3,I4,I5
70,0,0,0,0,0
6797,6836,5162,-983,774,209
5930,6836,5163,-556,610,-54
5292,6707,5649,24,412,-436
5055,6944,6073,945,12,-957
5012,6986,6271,1403,-603,-800
5108,6858,6890,1225,-757,-468
5013,6150,6987,846,-706,-140
5161,5482,6838,468,-526,58
5816,5251,6748,275,-596,321
6614,5386,6473,-193,-633,826
6738,5260,5938,-919,-500,1419
6842,5156,5780,-1275,-202,1477
6974,5026,5669,-1313,344,969
6984,5191,5013,-1291,1162,129
7048,6077,4950,-1225,1264,-39
6807,6837,5162,-989,1030,-41
5923,6828,5171,-700,851,-151
5369,6630,5654,-200,672,-472
5208,6790,6336,257,730,-987
5190,6810,6787,1107,459,-1566
5103,6723,6896,1396,122,-1518
4993,6454,7005,1254,-502,-752
5054,5532,6944,1026,-1018,-8
5697,5146,6852,905,-957,52
6356,5310,6688,510,-729,219
6719,5280,6085,96,-580,484
6925,5072,5538,-862,-173,1035
6989,5011,5492,-1460,574,886
7014,5406,4984,-1397,1010,387
7000,6212,4999,-886,832,54
6658,6793,5206,-598,663,-65
5804,6704,5295,-386,771,-385
5320,6680,5825,134,831,-965
5207,6791,6379,849,594,-1443
5169,6829,6600,1273,334,-1607
5104,6895,6823,1331,-143,-1188
4973,6375,7026,1257,-1002,-255
5055,5522,6943,1001,-1052,51
5718,5153,6845,899,-976,77
6364,5332,6665,512,-727,215
6734,5264,6090,121,-521,400
6968,5030,5614,-929,6,923
6986,5013,5435,-1504,739,765
7044,5420,4955,-1476,1045,431
7023,6236,4975,-962,762,200
6632,6848,5150,-649,675,-26
5722,6732,5268,-388,606,-218
5305,6695,5969,213,699,-912
5217,6782,6432,911,649,-1560
5218,6781,6707,1262,497,-1759
5092,6712,6906,1291,203,-1494
5056,6456,6943,1152,-518,-634
5115,5572,6884,910,-1109,199
5729,5205,6794,1054,-1285,231
6355,5380,6618,676,-1021,345
6613,5387,6237,444,-835,391
6817,5180,5459,-319,-418,737
6925,5074,5532,-1460,327,1133
6915,5223,5083,-1559,937,622
7056,5961,4943,-1348,995,353
6894,6729,5106,-980,798,182
6046,6883,5116,-686,737,-51
5328,6670,5513,-178,541,-363
5147,6851,6336,425,573,-998
5112,6887,6589,1260,242,-1502
5156,6793,6843,1408,-128,-1280
5020,6362,6979,1025,-394,-631
5070,5626,6928,896,-767,-129
5519,5182,6816,785,-804,19
6219,5213,6785,547,-659,112
6820,5178,6356,-13,-232,245
7017,4982,5891,-925,348,577
6951,5048,5414,-1102,607,495
6955,5469,5044,-803,606,197
6873,6194,5125,-340,496,-156
6283,6623,5376,171,467,-638
5577,6552,5446,846,528,-1374
5266,6732,5407,1173,140,-1313
5064,6934,5493,1409,-1018,-391
4960,7038,6030,1247,-1275,28
4942,7057,6781,1263,-1371,108
4918,6315,7081,1093,-1341,248
5060,5377,6939,719,-912,193
5798,5159,6839,552,-732,180
6607,5391,6444,48,-637,589
6769,5230,5742,-630,-649,1279
6784,5215,5566,-1291,-345,1636
6874,5125,5528,-1426,161,1265
6921,5228,5078,-1267,882,385
7012,6043,4986,-1152,1111,41
6812,6749,5187,-887,891,-4
6025,6790,5210,-671,800,-129
5393,6605,5494,-250,684,-434
5137,6862,6208,340,450,-790
4997,7002,6342,1280,-214,-1066
5073,6925,6808,1311,-752,-559
4971,6253,7028,924,-863,-61
5097,5505,6902,567,-681,114
5755,5232,6766,473,-744,271
6551,5448,6522,100,-853,753
6765,5234,5855,-423,-738,1161
6819,5178,5591,-1190,-352,1542
6929,5069,5563,-1427,202,1225
6961,5189,5037,-1357,1007,350
7027,6034,4972,-1150,1123,27
6807,6789,5191,-882,892,-10
5992,6792,5205,-682,814,-132
5372,6627,5466,-347,670,-323
5123,6875,6252,343,378,-721
5012,6986,6348,1330,-261,-1069
5056,6942,6848,1481,-836,-645
4988,6239,7011,1136,-846,-290
5099,5516,6900,619,-614,-5
5704,5215,6783,508,-651,143
6558,5440,6552,73,-728,655
6805,5194,5884,-580,-602,1182
6891,5107,5775,-1306,-123,1429
6996,5003,5612,-1443,463,980
7000,5263,5000,-1357,1063,294
7028,6109,4971,-993,1016,-23
6706,6824,5175,-833,942,-109
5856,6772,5226,-499,826,-327
5333,6666,5700,-106,821,-715
5135,6863,6481,526,595,-1121
5172,6827,6680,1268,300,-1568
5108,6781,6890,1344,-47,-1297
5014,6307,6985,1187,-738,-449
5115,5483,6884,866,-965,99
5745,5204,6795,829,-1024,195
6373,5378,6620,502,-868,366
6692,5306,5976,-5,-647,652
6837,5161,5561,-1040,-266,1306
6935,5064,5636,-1500,372,1128
6937,5220,5061,-1435,1028,407
7044,6024,4954,-1249,1115,134
6858,6776,5140,-908,875,33
6020,6850,5149,-675,774,-99
5346,6653,5639,-70,540,-470
5182,6817,6383,533,645,-1178
5188,6811,6656,1187,448,-1635
5129,6791,6869,1358,138,-1496
5016,6571,6983,1252,-523,-729
5040,5648,6958,1005,-1050,45
5571,5179,6819,923,-969,46
6238,5306,6693,528,-773,245
6715,5283,6224,122,-561,439
6987,5013,5764,-902,58,844
7018,4981,5524,-1472,874,598
7033,5308,4966,-1444,1122,322
7052,6148,4947,-917,892,25
6677,6849,5150,-592,687,-95
5726,6736,5263,-299,682,-383
5297,6700,5947,273,782,-1055
5227,6771,6407,830,769,-1599
5239,6760,6751,1104,620,-1724
5070,6591,6928,1116,424,-1540
4979,6358,7019,1116,-213,-903
5087,5589,6912,1043,-1145,102
5725,5173,6826,1128,-1280,152
6366,5342,6656,763,-952,189
6674,5324,6270,480,-655,175
6940,5058,5507,-327,-141,468
6995,5004,5374,-1442,711,731
7059,5472,4940,-1557,1069,488
7031,6276,4968,-1058,772,286
6605,6875,5123,-714,697,17
5676,6760,5239,-404,631,-227
5299,6698,6012,165,675,-840
5221,6777,6534,749,762,-1511
5226,6709,6773,1158,630,-1788
5059,6469,6938,1202,472,-1674
4980,6142,7018,1112,73,-1185
5161,5654,6838,932,-915,-17
5699,5226,6772,1164,-1351,187
6327,5359,6639,814,-1069,255
6636,5362,6300,471,-676,205
6959,5039,5621,-417,-44,461
6992,5006,5482,-1536,938,598
7024,5321,4973,-1621,1158,463
7056,6116,4943,-1139,900,239
6746,6867,5131,-780,774,6
5808,6822,5176,-463,694,-231
5285,6714,5852,84,692,-776
5169,6830,6483,671,740,-1411
5203,6728,6796,1191,554,-1745
5044,6422,6955,1134,574,-1708
4911,6023,7087,994,343,-1337
5151,5672,6847,985,-701,-284
5788,5182,6817,1225,-1532,307
6428,5364,6635,852,-1134,282
6585,5413,6188,558,-851,293
6727,5272,5463,-55,-510,565
6877,5121,5400,-1291,172,1119
6893,5296,5106,-1549,913,636
7042,6011,4957,-1368,979,389
6891,6752,5107,-1021,749,272
6097,6902,5096,-792,744,48
5314,6685,5440,-237,503,-266
5222,6777,6276,213,715,-928
5175,6823,6819,782,686,-1468
5012,6490,6986,1114,508,-1622
4949,6001,7050,873,393,-1266
5141,5684,6857,626,-281,-345
5671,5297,6703,874,-1269,395
6243,5441,6557,717,-1221,504
6547,5451,6281,400,-778,378
6847,5151,5739,-510,-80,590
6903,5096,5794,-1460,959,501
6877,5122,5250,-1508,1227,281
7090,5618,4909,-1449,1218,231
7043,6423,4956,-1215,934,281
6441,6954,5044,-807,616,191
5470,6835,5162,-296,421,-125
5124,6874,5930,219,268,-487
5105,6893,6721,604,414,-1018
5054,6418,6944,580,745,-1325
5195,5943,6804,-22,842,-820
5375,5380,6624,-853,533,320
5827,5440,6559,-746,-40,786
6277,5449,6549,-436,-617,1053
6764,5235,6733,-558,2,556
6982,5017,6569,-907,1443,-536
7132,4866,5912,-1200,1812,-612
7034,4964,5129,-1450,1863,-413
7115,5807,4883,-1140,1593,-453
6908,6793,5091,-830,1030,-200
6052,6859,5139,-723,837,-114
5384,6614,5438,-385,693,-308
5202,6797,6219,87,628,-715
5133,6866,6727,1060,340,-1400
5106,6796,6891,1445,-37,-1408
5011,6338,6988,1157,-374,-783
5090,5616,6907,658,-741,83
5663,5211,6787,749,-1013,264
6330,5365,6633,549,-1039,490
6658,5341,6197,319,-862,543
6864,5135,5343,-547,-429,976
6916,5082,5465,-1539,207,1332
6934,5192,5064,-1534,844,690
7058,6019,4940,-1285,1013,272
6870,6803,5128,-954,864,90
5957,6876,5123,-620,758,-138
5324,6675,5537,-262,660,-398
5160,6838,6337,209,633,-842
5156,6723,6843,935,562,-1497
5039,6363,6960,1029,649,-1678
4961,5859,7038,686,636,-1322
5125,5492,6874,526,71,-597
5692,5312,6686,972,-1392,420
6300,5445,6554,904,-1403,499
6507,5493,6262,567,-980,413
6681,5318,5715,-69,-406,475
6899,5099,5821,-1273,479,794
6833,5166,5302,-1543,1169,374
7035,5601,4964,-1487,1219,268
7045,6364,4953,-1350,934,416
6593,6945,5053,-1089,750,339
5664,6904,5094,-483,477,6
5097,6901,5750,133,143,-276
5098,6901,6670,534,323,-857
5037,6491,6961,627,698,-1325
5075,5983,6924,274,818,-1092
5404,5402,6597,-664,501,163
5892,5568,6429,-910,-196,1106
6289,5550,6449,-646,-1028,1674
6548,5451,6477,-737,-396,1133
6802,5196,6722,-888,1041,-153
6918,5080,6273,-1011,1695,-684
7054,4945,5685,-1166,1751,-585
7041,5103,4958,-1593,1931,-338
7140,6100,4859,-1496,1694,-198
6807,6956,5042,-1091,981,110
5806,6956,5042,-747,743,4
5205,6794,5580,-288,458,-170
5177,6822,6444,-17,657,-640
5031,6586,6966,339,722,-1061
4917,6070,7083,845,670,-1515
4943,5490,7055,575,684,-1259
5301,5189,6809,624,86,-710
6073,5364,6634,850,-1272,422
6529,5470,6434,937,-1515,578
6598,5401,5979,519,-907,388
6829,5169,5249,-451,-296,747
6878,5120,5392,-1592,688,904
6991,5530,5007,-1577,1045,532
7078,6282,4920,-1408,860,548
6710,6944,5055,-1146,682,464
5711,6943,5057,-660,548,112
5106,6893,5636,-134,261,-127
5212,6786,6572,18,579,-597
5155,6485,6843,-46,913,-867
5148,5928,6850,-201,920,-719
5269,5351,6729,-708,794,-86
5724,5114,6884,-604,537,67
6220,5156,6843,-296,177,119
6551,5314,6685,289,-282,-7
6717,5282,6082,771,-526,-245
6751,5247,5475,361,-355,-6
7022,5266,4976,-708,302,406
7087,5892,4911,-1478,966,512
6974,6739,5024,-1581,751,830
6229,6975,5024,-1104,502,602
5418,6900,5098,-496,250,246
5112,6886,5919,30,-11,-19
5108,6891,6849,514,176,-690
5016,6310,6983,908,361,-1269
4967,5787,7032,609,801,-1410
5185,5259,6813,139,654,-793
5802,5383,6615,-60,-196,256
6192,5416,6582,297,-1272,975
6533,5465,6428,708,-1188,480
6662,5337,5832,304,-522,218
6982,5016,5632,-939,373,566
6867,5131,5133,-1689,1311,378
7100,5772,4898,-1612,1276,336
7011,6569,4988,-1205,878,327
6295,6975,5024,-909,780,129
5342,6768,5231,-338,509,-171
5185,6813,6208,142,556,-698
5196,6802,6753,296,921,-1217
4980,6398,7017,602,772,-1374
4995,5851,7003,426,704,-1130
5355,5433,6644,-161,193,-32
5978,5501,6498,-244,-1108,1352
6269,5516,6484,63,-1475,1412
6482,5517,6360,173,-903,730
6662,5337,6066,-72,-276,348
6927,5072,5920,-786,663,123
6867,5131,5436,-1424,1428,-4
6994,5451,5005,-1559,1471,88
7106,6181,4892,-1609,1224,385
6796,6947,5052,-1390,796,594
5886,7108,4891,-754,96,658
5035,6964,5090,-39,-773,812
4855,7144,6083,463,-792,329
5115,6818,6883,558,-331,-227
5351,5716,6648,-451,684,-233
5348,5378,6650,-1404,1223,181
5699,5248,6751,-1221,1129,92
6096,5121,6878,-946,957,-11
6643,5049,6950,-706,956,-250
7016,4982,6547,-600,1099,-499
7016,4982,6013,-169,767,-598
6718,5280,5549,530,829,-1359
6643,5974,5355,758,745,-1503
6510,6643,5355,853,194,-1047
6115,6970,5029,708,-895,187
5689,7004,4995,770,-1386,616
5021,7021,4977,724,-1380,656
4838,7160,5669,362,-1082,720
5100,6899,6361,-516,-788,1304
5196,6187,6803,-856,-717,1573
5394,5375,6623,-871,-352,1223
5983,4991,7007,-837,457,380
6451,5033,6966,-1056,1247,-191
6968,5032,6841,-1001,1221,-220
7104,4895,6118,-730,1033,-303
6931,5068,5495,-308,624,-316
6546,5679,5453,607,600,-1207
6469,6329,5529,1179,435,-1614
6169,6760,5239,1029,-251,-778
5934,6810,5188,842,-1147,305
5626,6847,5152,844,-1292,448
5128,6881,5118,671,-1206,535
4839,7159,5693,662,-1335,673
4895,7103,6515,721,-1304,583
