I0,I1,I2
5787,-20455,14668
9928,-21029,11101
13987,-20715,6728
17036,-19445,2409
19309,-17267,-2042
20670,-14165,-6505
21181,-10572,-10609
20806,-6554,-14252
19663,-2615,-17048
17993,1241,-19234
14916,5473,-20389
11281,9570,-20851
7090,13563,-20653
2726,16491,-19217
-1633,18748,-17115
-6463,20014,-13551
-11059,20443,-9384
-15064,19977,-4913
-17939,18475,-536
-19915,16219,3696
-21054,13109,7945
-21148,9454,11694
-20554,5506,15048
-19267,1633,17634
-17155,-2475,19630
-14214,-6505,20719
-10489,-10613,21102
-6340,-14309,20649
-2182,-17048,19230
2013,-19140,17127
6517,-20542,14025
10923,-20835,9912
14672,-20435,5763
17638,-19086,1448
19668,-17052,-2616
20942,-14107,-6835
21169,-10415,-10754
20794,-6472,-14322
19457,-2351,-17106
17498,1765,-19263
14478,6125,-20603
10716,10279,-20995
6521,14025,-20546
2231,16916,-19147
-1889,19020,-17131
-6496,20488,-13992
-10811,20996,-10185
-14685,20497,-5812
-17572,18966,-1394
-19705,16632,3073
-20851,13575,7276
-21049,9710,11339
-20517,5750,14767
-19226,1625,17601
-17094,-2536,19630
-14544,-6402,20946
-10824,-10440,21264
-6806,-14095,20901
-2582,-16974,19556
1361,-19069,17708
5733,-20625,14892
9900,-21301,11401
13802,-21132,7330
16912,-19969,3057
19160,-18096,-1064
20703,-15468,-5235
21454,-12053,-9401
21355,-8386,-12969
20307,-4129,-16178
18607,-119,-18488
16227,3972,-20199
12956,8196,-21152
9029,12164,-21193
5036,15468,-20504
829,18150,-18979
-3526,19919,-16393
-7903,20963,-13060
-12049,21107,-9058
-15786,20245,-4459
-18467,18694,-227
-20373,16306,4067
-21388,13150,8238
-21503,9471,12032
-20633,5222,15411
-19239,1254,17985
-17015,-2928,19943
-13959,-7103,21062
-10469,-10993,21462
-6373,-14771,21144
-2561,-17391,19952
1526,-19449,17923
5985,-20827,14842
10098,-21425,11327
14132,-21140,7008
17110,-19960,2850
19441,-18059,-1382
20893,-15266,-5627
21445,-11682,-9763
21214,-7713,-13501
20249,-3621,-16628
18517,470,-18987
15720,4859,-20579
12040,9161,-21201
7825,13200,-21025
3539,16368,-19907
-882,18760,-17878
-5308,20328,-15020
-9796,21041,-11245
-13843,21041,-7198
-16990,19585,-2595
-19342,17312,2030
-20736,14416,6320
-21099,10456,10643
-20765,6336,14429
-19527,2099,17428
-17580,-2103,19683
-14577,-6257,20834
-11034,-10403,21437
-6715,-14091,20806
-2429,-17023,19452
1790,-19201,17411
6158,-20773,14615
10551,-21247,10696
14379,-20889,6510
17399,-19577,2178
19639,-17382,-2257
21054,-14623,-6431
21586,-10989,-10597
21252,-7045,-14207
19923,-2776,-17147
17927,1291,-19218
15307,5387,-20694
11624,9644,-21268
7474,13501,-20975
3234,16627,-19861
-1027,18867,-17840
-5403,20476,-15073
-9949,21066,-11117
-14214,20538,-6324
-17395,18826,-1431
-19643,16570,3073
-21169,13909,7260
-21478,10184,11294
-21214,6356,14858
-20039,2549,17490
-18220,-1369,19589
-15250,-5568,20818
-11607,-9722,21329
-7651,-13604,21255
-3225,-16644,19869
750,-18871,18121
5527,-20406,14879
9912,-21054,11142
14078,-21033,6955
17143,-19853,2710
19470,-17659,-1811
20876,-14660,-6216
21334,-11063,-10271
21074,-7156,-13918
19899,-2970,-16929
17960,1101,-19061
15130,5490,-20620
11257,9747,-21004
7119,13649,-20768
2396,16825,-19221
-2074,18909,-16835
-7156,20068,-12912
-11772,20794,-9022
-15501,20117,-4616
-18319,18587,-268
-20092,15934,4158
-20959,12544,8415
-21091,8782,12309
-20233,4521,15712
-18694,420,18274
-16124,-3906,20030
-12515,-8266,20781
-8369,-12354,20723
-3795,-15885,19680
437,-18434,17997
4855,-20055,15200
9392,-20963,11571
13571,-20740,7169
16759,-19610,2851
19082,-17869,-1213
20559,-14986,-5573
21462,-11999,-9463
21516,-8410,-13106
20567,-4450,-16117
18640,-189,-18451
16000,4059,-20059
12766,8303,-21069
8505,12453,-20958
4405,15757,-20162
259,18356,-18615
-4195,20064,-15869
-8460,21016,-12556
-12581,21058,-8477
-16087,20092,-4005
-18686,18414,272
-20361,15708,4653
-21309,12395,8914
-21223,8637,12586
-20336,4376,15960
-18785,321,18464
-16541,-3795,20336
-13426,-7854,21280
-9871,-11739,21610
-5944,-15163,21107
-1658,-17886,19544
2239,-19552,17313
6426,-21000,14574
10667,-21445,10778
14404,-21029,6625
17325,-19861,2536
19635,-17848,-1787
20950,-14936,-6014
21458,-11294,-10164
21396,-7610,-13786
20097,-3300,-16797
18327,759,-19086
15646,5040,-20686
12073,9215,-21288
8105,13121,-21226
3630,16330,-19960
-602,18682,-18080
-5259,20208,-14949
-9821,20868,-11047
-14111,20658,-6547
-17267,19123,-1856
-19585,16726,2859
-20938,13905,7033
-21214,10093,11121
-20810,5997,14813
-19428,1901,17527
-17143,-2396,19539
-13942,-6781,20723
-9982,-10947,20929
-5787,-14685,20472
-1390,-17428,18818
2842,-19531,16689
7420,-20818,13398
11748,-21087,9339
15497,-20224,4727
18257,-18665,408
20179,-16021,-4158
21091,-12515,-8576
21305,-9046,-12259
20319,-4739,-15580
19412,-1179,-18233
17205,2895,-20100
13530,7210,-20740
9710,11323,-21033
5284,14957,-20241
754,17733,-18487
-3964,19552,-15588
-8691,20323,-11632
-13134,20352,-7218
-16516,19441,-2925
-19111,17514,1597
-20629,14845,5784
-21239,11244,9995
-20909,7272,13637
-19919,3275,16644
-18286,-598,18884
-15604,-4863,20467
-12313,-8926,21239
-8386,-12750,21136
-4215,-16017,20232
-90,-18484,18574
4153,-20035,15882
8600,-20930,12330
12758,-20975,8217
16141,-20117,3976
18731,-18533,-198
20422,-16009,-4413
21346,-12655,-8691
21256,-8914,-12342
20422,-4719,-15703
18900,-565,-18335
16425,3638,-20063
13117,7920,-21037
9169,11946,-21115
4925,15353,-20278
684,17980,-18664
-3691,19816,-16125
-8118,20884,-12766
-12424,21021,-8597
-15951,20064,-4113
-18632,18133,499
-20385,15588,4797
-21214,12193,9021
-21190,8427,12763
-20274,4207,16067
-18752,214,18538
-16603,-3700,20303
-13406,-7882,21288
-9483,-11801,21284
-5308,-15225,20533
-903,-17910,18813
3250,-19820,16570
7689,-21008,13319
11793,-21280,9487
15394,-20707,5313
18079,-19016,937
20117,-16916,-3201
21214,-13662,-7552
21371,-9858,-11513
20856,-5894,-14962
19432,-1744,-17688
17184,2392,-19576
14157,6628,-20785
10316,10935,-21251
6183,14544,-20727
1918,17419,-19337
-2223,19441,-17218
-7090,20579,-13489
-11343,20884,-9541
-15307,20328,-5021
-18125,18851,-726
-20191,16607,3584
-21297,13624,7673
-21429,9862,11567
-20802,5750,15052
-19457,1749,17708
-17345,-2429,19774
-14421,-6595,21016
-10811,-10654,21465
-6913,-14404,21317
-2994,-17143,20137
792,-19329,18537
5242,-20740,15498
9380,-21478,12098
13435,-21342,7907
16673,-20323,3650
19086,-18591,-495
20773,-16178,-4595
21507,-12709,-8798
21623,-9070,-12553
20670,-4727,-15943
19189,-565,-18624
16801,3518,-20319
13464,7920,-21384
9442,12020,-21462
5214,15472,-20686
1146,18162,-19308
-3155,19907,-16752
-7503,21153,-13650
-11826,21544,-9718
-15357,20955,-5598
-18207,19135,-928
-20092,16083,4009
-21103,12771,8332
-21285,8749,12536
-20550,4653,15897
-19321,746,18575
-17201,-3262,20463
-14206,-7342,21548
-10411,-11323,21734
-6133,-14878,21011
-1703,-17679,19382
2512,-19602,17090
6864,-21070,14206
11323,-21400,10077
15043,-20604,5561
18055,-19032,977
20059,-16636,-3423
21379,-13534,-7845
21660,-9842,-11818
20934,-5630,-15304
19251,-1221,-18030
17036,2961,-19997
13715,7288,-21003
9895,11442,-21337
5457,15097,-20554
1105,17869,-18974
-3634,19795,-16161
-8229,20579,-12350
-12725,20707,-7982
-16454,19635,-3181
-19074,17485,1589
-20818,14949,5869
-21478,11356,10122
-21297,7606,13691
-20649,3885,16764
-18983,12,18971
-16141,-4356,20497
-12630,-8584,21214
-8703,-12639,21342
-4228,-16005,20233
247,-18513,18266
4776,-20175,15399
9400,-20959,11559
13501,-21153,7652
16887,-20076,3189
19280,-18244,-1036
20740,-15328,-5412
21396,-11867,-9529
21412,-8229,-13183
20398,-3976,-16422
18616,156,-18772
16021,4343,-20364
12354,8790,-21144
8237,12894,-21131
3795,16157,-19952
-713,18669,-17956
-5511,20200,-14689
-9928,20835,-10907
-14128,20851,-6723
-17234,19614,-2380
-19606,17481,2125
-20880,14466,6414
-21260,10753,10507
-20963,6591,14372
-19993,2755,17238
-18249,-1249,19498
-15200,-5610,20810
-11451,-9788,21239
-7255,-13777,21032
-3003,-16809,19812
1076,-19107,18031
5638,-20608,14970
10089,-21169,11080
14049,-20864,6815
17127,-19775,2648
19474,-17663,-1811
20835,-14734,-6101
21297,-10939,-10358
21066,-6930,-14136
19523,-2409,-17114
17386,1819,-19205
14334,6253,-20587
10489,10597,-21086
6282,14334,-20616
1823,17329,-19152
-2359,19387,-17028
-6876,20769,-13893
-11261,21091,-9830
-15089,20402,-5313
-17997,18876,-879
-20043,16504,3539
-21223,13352,7871
-21293,9433,11860
-20575,5387,15188
-19222,1299,17923
-17473,-2561,20034
-14206,-6868,21074
-10621,-10844,21465
-6513,-14487,21000
-2182,-17329,19511
1806,-19305,17499
6261,-20860,14599
10440,-21388,10948
14400,-20988,6588
17473,-19779,2306
19606,-17556,-2050
20946,-14779,-6167
21408,-11125,-10283
21379,-7441,-13938
20142,-3225,-16917
18315,829,-19144
15596,5106,-20702
11929,9314,-21243
7903,13220,-21123
3456,16491,-19947
-763,18785,-18022
-5152,20484,-15332
-9788,21140,-11352
-13893,21012,-7119
-17065,19593,-2528
-19461,17353,2108
-20926,14643,6283
-21433,10997,10436
-21210,7111,14099
-19973,2866,17107
-18211,-1167,19378
-15167,-5511,20678
-11533,-9652,21185
-7519,-13579,21098
-3168,-16648,19816
713,-18979,18266
5313,-20550,15237
9475,-21309,11834
13645,-21210,7565
16788,-19973,3185
19160,-18005,-1155
20662,-14854,-5808
21214,-11104,-10110
21012,-7136,-13876
19923,-2986,-16937
17947,1241,-19188
14920,5630,-20550
11248,9867,-21115
6839,13872,-20711
